rank,lemma,old_translation,new_translation
632,estados,land; country (masculine plural),states
828,países,country (plural),countries
889,formas,form; shape; figure (plural),forms; ways
902,tipos,kind; type; sort; manner (masculine plural),kinds; types
965,negocios,business; enterprise (masculine plural),businesses
982,puntos,point (masculine plural),points
983,relaciones,relation,relations; relationships
989,condiciones,condition,conditions
997,fuerzas,force (plural),forces
1009,tiempos,time (masculine plural),times
1082,militar,to participate actively in a political organization,military; soldier
1085,drogas,drug (plural),drugs
1089,metros,meter (masculine plural),metres; meters
1102,segundos,second (masculine plural),seconds
1119,servicios,service (masculine plural),services
1121,anterior,former; earlier; previous,previous
1122,momentos,moment; instant (masculine plural),moments
1125,vidas,life (plural),lives
1176,derechos,straight (masculine plural),rights
1208,obras,work (plural),works
1235,modos,way; manner (masculine plural),ways
1266,cartas,letter (plural),letters; cards
1268,grupos,group (masculine plural),groups
1271,asuntos,issue; matter; business (masculine plural),matters; affairs
1272,nombres,name (plural),names
1276,brazos,arm (masculine plural),arms
1328,piernas,leg (plural),legs
1344,estudios,study (masculine plural),studies
1349,soldados,soldier (masculine plural),soldiers
1352,zapatos,shoe (masculine plural),shoes
1354,acciones,act; deed; action,actions
1359,razones,reason,reasons
1396,luces,light (plural),lights
1430,películas,film (plural),films; movies
1436,puertas,door (plural),doors
1437,sentimientos,feeling (masculine plural),feelings
1451,calles,street (plural),streets
1452,estrellas,star (plural),stars
1475,clientes,client (plural),clients
1500,cambios,shift; change (masculine plural),changes
1509,elecciones,election,elections
1539,dientes,tooth (plural),teeth
1562,productos,item; product; commodity (masculine plural),products
1574,perros,dog (masculine plural),dogs
1582,detalles,detail (plural),details
1610,juegos,play (masculine plural),games
1636,médicos,doctor (masculine plural),doctors
1641,víctimas,victim (plural),victims
1642,agentes,agent (plural),agents
1658,efectos,effect (masculine plural),effects
1668,actividades,activity (plural),activities
1682,autoridades,authority (plural),authorities
1687,elementos,element (masculine plural),elements
1689,medidas,gauge; measure; measurement (plural),measures
1700,partidos,broken (masculine plural),parties; matches
1701,damas,checkers; draughts (plural),ladies
1733,imágenes,image,images
1751,leyes,law (plural),laws
1760,trabajos,job; work (masculine plural),jobs; work
1798,caballos,horse (masculine plural),horses
1818,cuerpos,body (masculine plural),bodies
1834,principios,principle (masculine plural),principles; beginnings
1851,equipos,team (masculine plural),teams
1879,salón,parlor; living room; sitting room; drawing room,living room; hall
1880,militares,to participate actively in a political organization (plural),military personnel; soldiers
1886,recuerdos,memory (masculine plural),memories
1891,pasos,dried (masculine plural),steps
1895,secretos,secret (masculine plural),secrets
1965,números,number (masculine plural),numbers
2021,labios,lip (masculine plural),lips
2022,enviado,envoy; delegate; emissary,sent; envoy
2037,bella,fair; beautiful (feminine singular),beautiful (feminine singular)
2070,cargos,charge; burden (masculine plural),positions; posts; charges
2095,movimientos,movement (masculine plural),movements
2109,ciudadanos,living in a city (masculine plural),citizens
2117,documentos,paper; document (masculine plural),documents
2126,enemigos,adverse; hostile (masculine plural),enemies
2130,votos,vote (masculine plural),votes
2133,testigos,witness (masculine plural),witnesses
2160,cientos,hundred (masculine plural),hundreds
2189,operaciones,operation,operations
2228,aspectos,aspect (masculine plural),aspects
2235,conde,earl; count,count
2244,valiente,brave; fearless; courageous,brave
2282,canciones,song,songs
2288,precios,price (masculine plural),prices
2297,huesos,bone (masculine plural),bones
2309,mínimo,minimum; minimal,minimum
2500,anteriores,former; earlier; previous (plural),previous (plural)
2987,bruja,witch; sorceress,witch
3772,telefónica,telephonic; pertaining to telephones (feminine singular),telephone; phone-related (feminine singular)
4116,anual,yearly; annual,annual
4659,mínima,minimal (feminine singular),minimum; minimal (feminine singular)
4935,brujas,witch; sorceress (plural),witches
4952,canales,flume; waterway (plural),channels
