rank,lemma,old_translation,new_translation
239,otros,other; another (masculine plural),others; other (masculine plural)
288,muchas,much; a lot of (feminine plural),many; a lot of (feminine plural)
337,general,general; overall,general; overall; common
346,muchos,much; a lot of (masculine plural),many; a lot of (masculine plural)
366,otras,other; another (feminine plural),others; other (feminine plural)
518,sola,one; sole; only; single (feminine singular),alone; on her own
538,puesto,job; position; employment,job; position; post
543,política,politics (feminine singular),politics; policy
1040,central,headquarter,central; main
1137,pocos,little; not much (masculine plural),few; not many (masculine plural)
1210,medida,gauge; measure; measurement,measure; measurement
1335,noticia,notice,news; piece of news
1394,enemigo,adverse; hostile,enemy
1506,ama,lady of the house,he/she loves; lady of the house
1689,medidas,measures,measures; steps
1701,damas,ladies; checkers,ladies
1801,pocas,little; not much (feminine plural),few; not many (feminine plural)
1819,solos,one; sole; only; single (masculine plural),alone; on their own (masculine plural)
1929,políticas,political (feminine plural),policies; political (feminine plural)
2198,notas,notes; grades; you notice,notes; grades
2280,amas,lady of the house (plural),you love
2322,exposición,exposition,exhibition; exposure
2375,puestos,job; position; employment (masculine plural),jobs; positions; posts
2413,disculpas,excuse (plural),apologies; excuses
2442,solas,one; sole; only; single (feminine plural),alone; on their own (feminine plural)
2464,generales,overall (plural),generals; general; overall
2695,poca,tad; bit,little; not much
3160,actriz,actor; actress,actress
3414,posiciones,position,positions
3592,ciudadano,living in a city,citizen
3625,aprecio,appreciation,appreciation; esteem; I appreciate
4461,rival,adverse,rival; opponent
4731,redacción,essay; composition,writing; essay; editorial office
4925,parientes,relative; relation (plural),relatives
