rank,lemma,old_translation,new_translation,reason
149,parece,you seem,seems; appears,high_frequency_audit_pass5
192,sabe,you know,knows,high_frequency_audit_pass5
448,necesita,you need,needs,high_frequency_audit_pass5
659,vuelve,you return,returns; comes back,high_frequency_audit_pass5
722,aquel,that; that one over there,that,high_frequency_audit_pass5
768,ocurre,you happen,happens; occurs,high_frequency_audit_pass5
779,encuentra,you meet,finds; meets,high_frequency_audit_pass5
813,recuerda,you remember,remembers,high_frequency_audit_pass5
862,aquella,that; that one over there,that,high_frequency_audit_pass5
898,llega,you arrive,arrives,high_frequency_audit_pass5
922,entra,you enter,enters,high_frequency_audit_pass5
985,aquellos,those over there,those,high_frequency_audit_pass5
1048,llevó,he/she took; carried,took; carried; wore,high_frequency_audit_pass5
1051,abre,you open,opens,high_frequency_audit_pass5
1070,carajo,cock,fuck; hell,high_frequency_audit_pass5
1129,trabaja,you work,works,high_frequency_audit_pass5
1131,permite,you allow,allows; permits,high_frequency_audit_pass5
1215,trae,you bring,brings,high_frequency_audit_pass5
1244,tomó,he/she took; drank,took; drank,high_frequency_audit_pass5
1282,empieza,you start,starts; begins,high_frequency_audit_pass5
1300,lee,you read,reads,high_frequency_audit_pass5
1347,corre,you run,runs,high_frequency_audit_pass5
1401,entiende,you understand,understands,high_frequency_audit_pass5
1421,usa,you use,uses,high_frequency_audit_pass5
1429,llevaba,I took; he took; she took; it took (ongoing habitual/background past),was carrying; wore,high_frequency_audit_pass5
1442,preocupa,you worry,worries; concerns,high_frequency_audit_pass5
1444,intenta,you try,tries,high_frequency_audit_pass5
1523,cierra,you close,closes,high_frequency_audit_pass5
1553,perdona,you pardon,forgives; excuses,high_frequency_audit_pass5
1631,comienza,you begin,begins; starts,high_frequency_audit_pass5
1711,muere,you die,dies,high_frequency_audit_pass5
1713,desea,you wish,wants; wishes,high_frequency_audit_pass5
1749,huevos,guts; balls (masculine plural),eggs; balls; guts,high_frequency_audit_pass5
1776,descanso,rest; break,rest; break; sleep,high_frequency_audit_pass5
1827,termina,you finish,finishes; ends,high_frequency_audit_pass5
1875,presenta,you present,presents; introduces,high_frequency_audit_pass5
1897,sube,you raise,goes up; gets on; raises,high_frequency_audit_pass5
1913,pide,you ask for something,asks for; requests,high_frequency_audit_pass5
1937,aquello,that; that thing over there,that,high_frequency_audit_pass5
1951,cambia,you change,changes,high_frequency_audit_pass5
2032,argentina,Argentine; Argentinian (feminine singular),Argentinian (feminine singular); Argentine,high_frequency_audit_pass5
2058,pertenece,you belong,belongs,high_frequency_audit_pass5
2094,regresa,you return,returns; comes back,high_frequency_audit_pass5
2131,fría,beer,cold (feminine singular),high_frequency_audit_pass5
2143,explica,you explain,explains,high_frequency_audit_pass5
2200,descansar,to rest,to rest; take a break,high_frequency_audit_pass5
2202,cae,you fall,falls,high_frequency_audit_pass5
2275,crea,you create,creates,high_frequency_audit_pass5
2325,ofrece,you offer,offers,high_frequency_audit_pass5
2350,coge,you take,takes; grabs,high_frequency_audit_pass5
2372,aquellas,those over there,those,high_frequency_audit_pass5
2391,responde,you answer,answers; responds,high_frequency_audit_pass5
2392,pierde,you lose,loses,high_frequency_audit_pass5
2394,representa,you represent,represents,high_frequency_audit_pass5
2427,levanta,you lift,lifts; raises,high_frequency_audit_pass5
2480,rica,rich; tasty; lovely,rich; tasty,high_frequency_audit_pass5
2511,escribe,you write,writes,high_frequency_audit_pass5
2638,dirige,you direct,leads; directs,high_frequency_audit_pass5
2640,juega,you play,plays,high_frequency_audit_pass5
2660,siéntese,he seats; she seats; it seats,sit down,high_frequency_audit_pass5
2684,duerme,you sleep,sleeps,high_frequency_audit_pass5
2793,sorprende,you surprise,surprises,high_frequency_audit_pass5
2801,recibe,you receive,receives,high_frequency_audit_pass5
2807,olvida,you forget,forgets,high_frequency_audit_pass5
2847,indica,you indicate,indicates,high_frequency_audit_pass5
2875,corresponde,you correspond to,corresponds to,high_frequency_audit_pass5
2885,cabe,you fit,fits,high_frequency_audit_pass5
2949,afirma,you state,states; affirms,high_frequency_audit_pass5
2991,habitual,usual; habitual,usual; typical; habitual,high_frequency_audit_pass5
3041,respira,you breathe,breathes,high_frequency_audit_pass5
3090,conduce,you drive,drives,high_frequency_audit_pass5
3130,odia,you hate,hates,high_frequency_audit_pass5
3198,señala,you signal,points out; signals,high_frequency_audit_pass5
3221,echa,you throw,throws; puts,high_frequency_audit_pass5
3230,consiste,you consist of,consists of,high_frequency_audit_pass5
3342,cuida,you look after,looks after; cares for,high_frequency_audit_pass5
3352,utiliza,you use,uses,high_frequency_audit_pass5
3430,zorra,slut; prostitute (feminine singular),fox; bitch; slut,high_frequency_audit_pass5
3469,acepta,you accept,accepts,high_frequency_audit_pass5
3528,posee,you possess,possesses; has,high_frequency_audit_pass5
3735,guau,woof; bow wow,wow; woof,high_frequency_audit_pass5
3832,implica,you imply,implies,high_frequency_audit_pass5
3883,buscado,searched for,sought; searched for,high_frequency_audit_pass5
3935,pausa,pause,pause; break,high_frequency_audit_pass5
4372,tomaron,they took (completed past),they took; they drank,high_frequency_audit_pass5
4420,tomaste,you took (completed past),you took; you drank,high_frequency_audit_pass5
4446,llevé,I took (completed past),I took; I carried,high_frequency_audit_pass5
4493,argentino,Argentine; Argentinian,Argentinian; Argentine,high_frequency_audit_pass5
4620,descansa,you rest,rest; take a break; get some sleep,high_frequency_audit_pass5
4808,cogió,he took; she took; it took (completed past),took; grabbed,high_frequency_audit_pass5
4944,antiguas,old; ancient; former,old; ancient,high_frequency_audit_pass5
