rank,lemma,old_translation,new_translation
101,años,year (masculine plural),years
129,cosas,thing (plural),things
167,quiere,you want,wants; you want (formal)
185,días,day (plural),days
199,debe,you owe,must; should; owes
226,gusta,likes; pleases,likes; is pleasing to
264,personas,person (plural),people
279,hombres,man (plural),men
284,debería,I would owe,should; would have to
291,amigos,friend (masculine plural),friends
292,chica,female equivalent of chico: girl (feminine singular),girl
295,chicos,small (masculine plural),boys; guys
313,horas,hour (plural),hours
320,problemas,issue; problem; challenge (plural),problems; issues; challenges
334,ojos,eye (masculine plural),eyes
339,debo,I owe,I must; I should; I owe
340,minutos,minute (masculine plural),minutes
343,manos,hand (masculine plural),hands
347,chico,small,boy; guy; small
370,mujeres,woman (plural),women
377,hija,daughter; female equivalent of hijo,daughter
403,meses,month (plural),months
415,gustaría,I would like,would like
449,debes,you owe,you must; you should
464,hijos,son (masculine plural),sons; children
470,cree,he creates; she creates; it creates,believes; thinks
476,embargo,distraint,embargo; seizure; however (in sin embargo)
485,debemos,we owe,we must; we should
495,padres,father (plural),parents; fathers
505,dólares,dollar (plural),dollars
507,hermana,sister; female equivalent of hermano,sister
517,deberías,you would owe,you should
521,partido,broken,party; match; split
551,palabras,word (plural),words
555,chicas,small (feminine plural),girls
588,peor,comparative degree of malo: worse,worse
605,llamado,call,called; named
619,deben,they owe,must; should; owe
624,semanas,week (plural),weeks
630,san,holy; godly,Saint
633,niña,girl; female equivalent of niño,girl
637,llamar,to summon,to call; to name
650,director,conductor,director; manager
754,tema,plot; theme,topic; theme
825,casos,case (masculine plural),cases
841,pruebas,proof; evidence (plural),tests; proofs; evidence
888,encanta,you charm,loves; delights
895,debido,owed,due; because of; owed
896,loca,a madwoman; female equivalent of loco,crazy; mad
909,placer,to like,pleasure
930,muchacho,boy,boy; young man
943,pies,foot (plural),feet
971,abuela,grandmother; female equivalent of abuelo,grandmother
975,llamó,he summoned; she summoned; it summoned (completed past),called
978,gustan,they taste,like; are pleasing to
990,muchachos,boy (masculine plural),boys; young men
999,fotos,photo; photograph (masculine plural),photos; photographs
1016,libros,book (masculine plural),books
1047,miembros,member (masculine plural),members
1063,resultados,result; upshot; outcome; finding (masculine plural),results; outcomes; findings
1079,santa,saintess; female equivalent of santo,saint; holy
1097,debía,I owed; he owed; she owed; it owed (ongoing habitual/background past),had to; was supposed to; owed
1145,flores,flower (plural),flowers
1182,hechos,done; completed (masculine plural),facts; deeds; events
1190,hermanos,brother (masculine plural),brothers; siblings
1192,santo,holy; godly,saint; holy
1378,llaman,they summon,call
1429,llevaba,I tooked; he tooked; she tooked; it tooked (ongoing habitual/background past),I took; he took; she took; it took (ongoing habitual/background past)
1558,deberían,they would owe,should
1586,policías,polity; police; Civility; public order (plural),police officers; police
1665,privado,privy; private,private
1681,antiguo,old; former; quondam; erstwhile,old; ancient; former
1723,china,pebble; small stone (feminine singular),China; Chinese woman
1739,debió,he owed; she owed; it owed (completed past),had to; must have
